 ; ;"SW - QGTC01 - TF - TL ILU - CTO 1-2 ILU CONGELADOS";"1";"1";"28";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 3-4 ILU CONGELADOS";"1";"1";"29";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 5-6 ILU CONGELADOS";"1";"1";"30";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 7-8 ILU CONGELADOS";"1";"1";"31";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 9-10 ILU RACK�S FRUVER";"1";"1";"32";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 11-12 ILU RACK�S FRUVER";"1";"1";"33";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 13-14 ILU RACK�S FRUVER";"1";"1";"34";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 15-16 ILU RACK�S FRUVER";"1";"1";"35";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 17-18 ILU PALETS FRUVER";"1";"1";"36";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 19-20 ILU PALETS FRUVER";"1";"1";"37";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 21-22 ILU PALETS FRUVER";"1";"1";"38";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TF - TL ILU - CTO 23-24 ILU RACK�S FRUVER";"1";"1";"39";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 1-2 INVERSOR 1 FRUVER";"1";"1";"40";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 3-4 INVERSOR 2 FRUVER";"1";"1";"41";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 5 RESERVA EQUIPADA";"1";"1";"42";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TEF - TL ILU - CTO 6 RESERVA EQUIPADA";"1";"1";"43";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TP - TL ILU - CTO 1 ILU OFICINA PORTERIA";"1";"1";"44";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TP - TL ILU - CTO 2 ILU BANO-PASILLO-TECNICO";"1";"1";"45";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 1-2 ILU EXTERIOR";"1";"1";"46";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 3-4 ILU EXTERIOR";"1";"1";"47";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 5-6 ILU EXTERIOR";"1";"1";"48";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 7-8 ILU EXTERIOR";"1";"1";"49";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 9 ILU EXTERIOR PORTERIA";"1";"1";"50";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 10 ILU EXTERIOR PORTERIA";"1";"1";"51";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - CTO 11-12 ALIMENTACION TALANQUERAS";"1";"1";"52";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TIEP - TL ILU - RESERVA EQUIPADA";"1";"1";"53";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 1 ILU PLANTAS Y SUBESTACION";"1";"1";"54";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 2 ILU PASILLO Y CUARTO TECNICO FRIOS";"1";"1";"55";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 3 ILU CUARTO FRIO INDUSTRIAL";"1";"1";"56";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 4 ILU EMERGENCIA.";"1";"1";"57";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 5 ILU BANOS";"1";"1";"58";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 6 ILU ZONA DE DESCANSO-PASILLOS";"1";"1";"59";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 7 ILU ACCESO Y CUARTO BATERIAS";"1";"1";"60";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 8 ILU BODEGA 1 Y 2";"1";"1";"61";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 9 ILU BODEGA 3";"1";"1";"62";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 10 ILU TUNEL DE FRIO";"1";"1";"63";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 11 ILU CONTENEDORES";"1";"1";"64";"";"";"";"DPST-1-6";"Auto"
 ; ;"SW - QGTC01 - TZTF - TL ILU - CTO 12 ILU CONTENEDORES";"1";"1";"65";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 1 ILU OFICINA 2";"1";"1";"66";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 2 ILU OFICINA 1";"1";"1";"67";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 3 ILU BANOS";"1";"1";"68";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TOF - TL ILU - CTO 4 ILU ZONA DE ESPERA";"1";"1";"69";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 1-2 ILU FACHADA";"1";"1";"70";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 3-4I LUMINACION FACHADA 2";"1";"1";"71";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TIEZT - TL ILU - CTO 5-6 RESERVA EQUIPADA";"1";"1";"72";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 1-2 ILU PLATAFORMA TECNICA";"1";"1";"73";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 3-4 ILU PLATAFORMA TECNICA 2";"1";"1";"74";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 5 -6 ILU CUBIERTA";"1";"1";"75";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TZT - TL ILU - CTO 7-8 ILU CUBIERTA";"1";"1";"76";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TEL - TL ILU - INVERSOR 1 LACTEOS";"1";"1";"77";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TEL - TL ILU - INVERSOR 2 LACTEOS";"1";"1";"78";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"79";"";"";"";"DPST-1-6";"Auto"
 ; ;"RS - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"80";"";"";"";"DPST-1-6";"Auto"
